"pid","grade","condition","totalDuration","Q.score","item","response","answer","accuracy"
51106,"5","control",575,"15","item11",2,2,1
51106,"5","control",575,"15","item12",5,5,1
51106,"5","control",575,"15","item13",4,4,1
51106,"5","control",575,"15","item14",1,1,1
51106,"5","control",575,"15","item15",1,1,1
51106,"5","control",575,"15","item16",2,2,1
51106,"5","control",575,"15","item17",5,5,1
51106,"5","control",575,"15","item18",4,4,1
51106,"5","control",575,"15","item19",2,2,1
51106,"5","control",575,"15","item20",4,4,1
51106,"5","control",575,"15","item21",3,3,1
51106,"5","control",575,"15","item22",3,3,1
51106,"5","control",575,"15","item23",3,5,0
51106,"5","control",575,"15","item24",0,4,0
51106,"5","control",575,"15","item25",0,3,0
51106,"5","control",575,"15","item26",0,1,0
51121,"5","exp",458,"20","item7",4,4,1
51121,"5","exp",458,"20","item8",4,4,1
51121,"5","exp",458,"20","item9",1,1,1
51121,"5","exp",458,"20","item10",3,3,1
51121,"5","exp",458,"20","item11",2,2,1
51121,"5","exp",458,"20","item12",5,5,1
51121,"5","exp",458,"20","item13",4,4,1
51121,"5","exp",458,"20","item14",1,1,1
51121,"5","exp",458,"20","item15",1,1,1
51121,"5","exp",458,"20","item16",4,2,0
51121,"5","exp",458,"20","item17",5,5,1
51121,"5","exp",458,"20","item18",4,4,1
51121,"5","exp",458,"20","item19",2,2,1
51121,"5","exp",458,"20","item20",4,4,1
51121,"5","exp",458,"20","item21",3,3,1
51121,"5","exp",458,"20","item22",3,3,1
51121,"5","exp",458,"20","item23",0,5,0
51121,"5","exp",458,"20","item24",2,4,0
51121,"5","exp",458,"20","item25",3,3,1
51121,"5","exp",458,"20","item26",1,1,1
51121,"5","exp",458,"20","item27",0,2,0
51121,"5","exp",458,"20","item28",1,1,1
51121,"5","exp",458,"20","item29",2,2,1
51121,"5","exp",458,"20","item30",4,2,0
51121,"5","exp",458,"20","item31",0,5,0
51121,"5","exp",458,"20","item32",0,4,0
51121,"5","exp",458,"20","item33",0,3,0
51202,"5","exp",605,"23","item7",4,4,1
51202,"5","exp",605,"23","item8",4,4,1
51202,"5","exp",605,"23","item9",1,1,1
51202,"5","exp",605,"23","item10",3,3,1
51202,"5","exp",605,"23","item11",2,2,1
51202,"5","exp",605,"23","item12",5,5,1
51202,"5","exp",605,"23","item13",4,4,1
51202,"5","exp",605,"23","item14",1,1,1
51202,"5","exp",605,"23","item15",1,1,1
51202,"5","exp",605,"23","item16",2,2,1
51202,"5","exp",605,"23","item17",5,5,1
51202,"5","exp",605,"23","item18",4,4,1
51202,"5","exp",605,"23","item19",2,2,1
51202,"5","exp",605,"23","item20",4,4,1
51202,"5","exp",605,"23","item21",3,3,1
51202,"5","exp",605,"23","item22",3,3,1
51202,"5","exp",605,"23","item23",5,5,1
51202,"5","exp",605,"23","item24",4,4,1
51202,"5","exp",605,"23","item25",3,3,1
51202,"5","exp",605,"23","item26",1,1,1
51202,"5","exp",605,"23","item27",2,2,1
51202,"5","exp",605,"23","item28",2,1,0
51202,"5","exp",605,"23","item29",4,2,0
51202,"5","exp",605,"23","item30",2,2,1
51202,"5","exp",605,"23","item31",1,5,0
51202,"5","exp",605,"23","item32",1,4,0
51202,"5","exp",605,"23","item33",0,3,0
51202,"5","exp",605,"23","item34",4,1,0
51101,"5","exp",378,"24","item7",4,4,1
51101,"5","exp",378,"24","item8",4,4,1
51101,"5","exp",378,"24","item9",1,1,1
51101,"5","exp",378,"24","item10",3,3,1
51101,"5","exp",378,"24","item11",2,2,1
51101,"5","exp",378,"24","item12",5,5,1
51101,"5","exp",378,"24","item13",4,4,1
51101,"5","exp",378,"24","item14",1,1,1
51101,"5","exp",378,"24","item15",1,1,1
51101,"5","exp",378,"24","item16",2,2,1
51101,"5","exp",378,"24","item17",5,5,1
51101,"5","exp",378,"24","item18",4,4,1
51101,"5","exp",378,"24","item19",2,2,1
51101,"5","exp",378,"24","item20",4,4,1
51101,"5","exp",378,"24","item21",3,3,1
51101,"5","exp",378,"24","item22",3,3,1
51101,"5","exp",378,"24","item23",5,5,1
51101,"5","exp",378,"24","item24",4,4,1
51101,"5","exp",378,"24","item25",3,3,1
51101,"5","exp",378,"24","item26",0,1,0
51101,"5","exp",378,"24","item27",2,2,1
51101,"5","exp",378,"24","item28",0,1,0
51101,"5","exp",378,"24","item29",2,2,1
51101,"5","exp",378,"24","item30",2,2,1
51101,"5","exp",378,"24","item31",5,5,1
51101,"5","exp",378,"24","item32",0,4,0
51101,"5","exp",378,"24","item33",0,3,0
51101,"5","exp",378,"24","item34",4,1,0
51101,"5","exp",378,"24","item35",0,5,0
51209,"5","control",387,"18","item7",4,4,1
51209,"5","control",387,"18","item8",4,4,1
51209,"5","control",387,"18","item9",1,1,1
51209,"5","control",387,"18","item10",3,3,1
51209,"5","control",387,"18","item11",2,2,1
51209,"5","control",387,"18","item12",5,5,1
51209,"5","control",387,"18","item13",4,4,1
51209,"5","control",387,"18","item14",1,1,1
51209,"5","control",387,"18","item15",1,1,1
51209,"5","control",387,"18","item16",2,2,1
51209,"5","control",387,"18","item17",5,5,1
51209,"5","control",387,"18","item18",4,4,1
51209,"5","control",387,"18","item19",2,2,1
51209,"5","control",387,"18","item20",4,4,1
51209,"5","control",387,"18","item21",3,3,1
51209,"5","control",387,"18","item22",3,3,1
51209,"5","control",387,"18","item23",5,5,1
51209,"5","control",387,"18","item24",3,4,0
51209,"5","control",387,"18","item25",1,3,0
51209,"5","control",387,"18","item26",0,1,0
51209,"5","control",387,"18","item27",3,2,0
51116,"5","control",375,"17","item7",4,4,1
51116,"5","control",375,"17","item8",4,4,1
51116,"5","control",375,"17","item9",1,1,1
51116,"5","control",375,"17","item10",3,3,1
51116,"5","control",375,"17","item11",2,2,1
51116,"5","control",375,"17","item12",5,5,1
51116,"5","control",375,"17","item13",4,4,1
51116,"5","control",375,"17","item14",1,1,1
51116,"5","control",375,"17","item15",1,1,1
51116,"5","control",375,"17","item16",0,2,0
51116,"5","control",375,"17","item17",5,5,1
51116,"5","control",375,"17","item18",4,4,1
51116,"5","control",375,"17","item19",2,2,1
51116,"5","control",375,"17","item20",4,4,1
51116,"5","control",375,"17","item21",3,3,1
51116,"5","control",375,"17","item22",3,3,1
51116,"5","control",375,"17","item23",5,5,1
51116,"5","control",375,"17","item24",0,4,0
51116,"5","control",375,"17","item25",0,3,0
51116,"5","control",375,"17","item26",0,1,0
51116,"5","control",375,"17","item27",0,2,0
51206,"5","exp",559,"21","item7",4,4,1
51206,"5","exp",559,"21","item8",4,4,1
51206,"5","exp",559,"21","item9",1,1,1
51206,"5","exp",559,"21","item10",3,3,1
51206,"5","exp",559,"21","item11",2,2,1
51206,"5","exp",559,"21","item12",5,5,1
51206,"5","exp",559,"21","item13",4,4,1
51206,"5","exp",559,"21","item14",1,1,1
51206,"5","exp",559,"21","item15",1,1,1
51206,"5","exp",559,"21","item16",2,2,1
51206,"5","exp",559,"21","item17",5,5,1
51206,"5","exp",559,"21","item18",4,4,1
51206,"5","exp",559,"21","item19",2,2,1
51206,"5","exp",559,"21","item20",4,4,1
51206,"5","exp",559,"21","item21",1,3,0
51206,"5","exp",559,"21","item22",3,3,1
51206,"5","exp",559,"21","item23",5,5,1
51206,"5","exp",559,"21","item24",4,4,1
51206,"5","exp",559,"21","item25",0,3,0
51206,"5","exp",559,"21","item26",5,1,0
51206,"5","exp",559,"21","item27",4,2,0
51206,"5","exp",559,"21","item28",1,1,1
51206,"5","exp",559,"21","item29",2,2,1
51206,"5","exp",559,"21","item30",2,2,1
51206,"5","exp",559,"21","item31",3,5,0
51206,"5","exp",559,"21","item32",2,4,0
51206,"5","exp",559,"21","item33",5,3,0
51206,"5","exp",559,"21","item34",4,1,0
51217,"5","control",589,"18","item7",4,4,1
51217,"5","control",589,"18","item8",4,4,1
51217,"5","control",589,"18","item9",1,1,1
51217,"5","control",589,"18","item10",3,3,1
51217,"5","control",589,"18","item11",2,2,1
51217,"5","control",589,"18","item12",5,5,1
51217,"5","control",589,"18","item13",4,4,1
51217,"5","control",589,"18","item14",1,1,1
51217,"5","control",589,"18","item15",1,1,1
51217,"5","control",589,"18","item16",2,2,1
51217,"5","control",589,"18","item17",5,5,1
51217,"5","control",589,"18","item18",4,4,1
51217,"5","control",589,"18","item19",2,2,1
51217,"5","control",589,"18","item20",4,4,1
51217,"5","control",589,"18","item21",1,3,0
51217,"5","control",589,"18","item22",3,3,1
51217,"5","control",589,"18","item23",5,5,1
51217,"5","control",589,"18","item24",5,4,0
51217,"5","control",589,"18","item25",3,3,1
51217,"5","control",589,"18","item26",4,1,0
51217,"5","control",589,"18","item27",1,2,0
51217,"5","control",589,"18","item28",2,1,0
51217,"5","control",589,"18","item29",0,2,0
51119,"5","control",284,"16","item7",4,4,1
51119,"5","control",284,"16","item8",4,4,1
51119,"5","control",284,"16","item9",1,1,1
51119,"5","control",284,"16","item10",3,3,1
51119,"5","control",284,"16","item11",2,2,1
51119,"5","control",284,"16","item12",5,5,1
51119,"5","control",284,"16","item13",4,4,1
51119,"5","control",284,"16","item14",1,1,1
51119,"5","control",284,"16","item15",1,1,1
51119,"5","control",284,"16","item16",2,2,1
51119,"5","control",284,"16","item17",5,5,1
51119,"5","control",284,"16","item18",4,4,1
51119,"5","control",284,"16","item19",2,2,1
51119,"5","control",284,"16","item20",4,4,1
51119,"5","control",284,"16","item21",1,3,0
51119,"5","control",284,"16","item22",5,3,0
51119,"5","control",284,"16","item23",5,5,1
51119,"5","control",284,"16","item24",0,4,0
51119,"5","control",284,"16","item25",2,3,0
51119,"5","control",284,"16","item26",0,1,0
51119,"5","control",284,"16","item27",4,2,0
51212,"5","control",343,"17","item7",4,4,1
51212,"5","control",343,"17","item8",4,4,1
51212,"5","control",343,"17","item9",1,1,1
51212,"5","control",343,"17","item10",3,3,1
51212,"5","control",343,"17","item11",2,2,1
51212,"5","control",343,"17","item12",5,5,1
51212,"5","control",343,"17","item13",4,4,1
51212,"5","control",343,"17","item14",1,1,1
51212,"5","control",343,"17","item15",1,1,1
51212,"5","control",343,"17","item16",2,2,1
51212,"5","control",343,"17","item17",5,5,1
51212,"5","control",343,"17","item18",4,4,1
51212,"5","control",343,"17","item19",2,2,1
51212,"5","control",343,"17","item20",4,4,1
51212,"5","control",343,"17","item21",3,3,1
51212,"5","control",343,"17","item22",3,3,1
51212,"5","control",343,"17","item23",0,5,0
51212,"5","control",343,"17","item24",3,4,0
51212,"5","control",343,"17","item25",2,3,0
51212,"5","control",343,"17","item26",0,1,0
51210,"5","control",298,"16","item7",4,4,1
51210,"5","control",298,"16","item8",4,4,1
51210,"5","control",298,"16","item9",1,1,1
51210,"5","control",298,"16","item10",3,3,1
51210,"5","control",298,"16","item11",2,2,1
51210,"5","control",298,"16","item12",5,5,1
51210,"5","control",298,"16","item13",4,4,1
51210,"5","control",298,"16","item14",1,1,1
51210,"5","control",298,"16","item15",1,1,1
51210,"5","control",298,"16","item16",2,2,1
51210,"5","control",298,"16","item17",5,5,1
51210,"5","control",298,"16","item18",4,4,1
51210,"5","control",298,"16","item19",5,2,0
51210,"5","control",298,"16","item20",4,4,1
51210,"5","control",298,"16","item21",3,3,1
51210,"5","control",298,"16","item22",3,3,1
51210,"5","control",298,"16","item23",0,5,0
51210,"5","control",298,"16","item24",3,4,0
51210,"5","control",298,"16","item25",0,3,0
51210,"5","control",298,"16","item26",4,1,0
51120,"5","control",534,"18","item7",4,4,1
51120,"5","control",534,"18","item8",4,4,1
51120,"5","control",534,"18","item9",1,1,1
51120,"5","control",534,"18","item10",3,3,1
51120,"5","control",534,"18","item11",2,2,1
51120,"5","control",534,"18","item12",5,5,1
51120,"5","control",534,"18","item13",4,4,1
51120,"5","control",534,"18","item14",1,1,1
51120,"5","control",534,"18","item15",1,1,1
51120,"5","control",534,"18","item16",2,2,1
51120,"5","control",534,"18","item17",5,5,1
51120,"5","control",534,"18","item18",2,4,0
51120,"5","control",534,"18","item19",2,2,1
51120,"5","control",534,"18","item20",4,4,1
51120,"5","control",534,"18","item21",3,3,1
51120,"5","control",534,"18","item22",3,3,1
51120,"5","control",534,"18","item23",5,5,1
51120,"5","control",534,"18","item24",4,4,1
51120,"5","control",534,"18","item25",3,3,1
51120,"5","control",534,"18","item26",0,1,0
51120,"5","control",534,"18","item27",0,2,0
51120,"5","control",534,"18","item28",2,1,0
51120,"5","control",534,"18","item29",5,2,0
51220,"5","exp",560,"21","item7",4,4,1
51220,"5","exp",560,"21","item8",4,4,1
51220,"5","exp",560,"21","item9",1,1,1
51220,"5","exp",560,"21","item10",3,3,1
51220,"5","exp",560,"21","item11",2,2,1
51220,"5","exp",560,"21","item12",5,5,1
51220,"5","exp",560,"21","item13",4,4,1
51220,"5","exp",560,"21","item14",1,1,1
51220,"5","exp",560,"21","item15",1,1,1
51220,"5","exp",560,"21","item16",3,2,0
51220,"5","exp",560,"21","item17",5,5,1
51220,"5","exp",560,"21","item18",4,4,1
51220,"5","exp",560,"21","item19",2,2,1
51220,"5","exp",560,"21","item20",4,4,1
51220,"5","exp",560,"21","item21",1,3,0
51220,"5","exp",560,"21","item22",3,3,1
51220,"5","exp",560,"21","item23",5,5,1
51220,"5","exp",560,"21","item24",0,4,0
51220,"5","exp",560,"21","item25",3,3,1
51220,"5","exp",560,"21","item26",4,1,0
51220,"5","exp",560,"21","item27",2,2,1
51220,"5","exp",560,"21","item28",1,1,1
51220,"5","exp",560,"21","item29",2,2,1
51220,"5","exp",560,"21","item30",2,2,1
51220,"5","exp",560,"21","item31",3,5,0
51220,"5","exp",560,"21","item32",5,4,0
51220,"5","exp",560,"21","item33",1,3,0
51220,"5","exp",560,"21","item34",5,1,0
51215,"5","exp",794,"20","item7",4,4,1
51215,"5","exp",794,"20","item8",4,4,1
51215,"5","exp",794,"20","item9",1,1,1
51215,"5","exp",794,"20","item10",3,3,1
51215,"5","exp",794,"20","item11",2,2,1
51215,"5","exp",794,"20","item12",5,5,1
51215,"5","exp",794,"20","item13",4,4,1
51215,"5","exp",794,"20","item14",1,1,1
51215,"5","exp",794,"20","item15",1,1,1
51215,"5","exp",794,"20","item16",2,2,1
51215,"5","exp",794,"20","item17",2,5,0
51215,"5","exp",794,"20","item18",3,4,0
51215,"5","exp",794,"20","item19",2,2,1
51215,"5","exp",794,"20","item20",4,4,1
51215,"5","exp",794,"20","item21",3,3,1
51215,"5","exp",794,"20","item22",3,3,1
51215,"5","exp",794,"20","item23",5,5,1
51215,"5","exp",794,"20","item24",0,4,0
51215,"5","exp",794,"20","item25",3,3,1
51215,"5","exp",794,"20","item26",0,1,0
51215,"5","exp",794,"20","item27",4,2,0
51215,"5","exp",794,"20","item28",2,1,0
51215,"5","exp",794,"20","item29",2,2,1
51215,"5","exp",794,"20","item30",5,2,0
51215,"5","exp",794,"20","item31",5,5,1
51215,"5","exp",794,"20","item32",4,4,1
51215,"5","exp",794,"20","item33",0,3,0
51215,"5","exp",794,"20","item34",5,1,0
51215,"5","exp",794,"20","item35",0,5,0
51208,"5","exp",552,"23","item7",4,4,1
51208,"5","exp",552,"23","item8",4,4,1
51208,"5","exp",552,"23","item9",1,1,1
51208,"5","exp",552,"23","item10",3,3,1
51208,"5","exp",552,"23","item11",2,2,1
51208,"5","exp",552,"23","item12",5,5,1
51208,"5","exp",552,"23","item13",4,4,1
51208,"5","exp",552,"23","item14",1,1,1
51208,"5","exp",552,"23","item15",1,1,1
51208,"5","exp",552,"23","item16",2,2,1
51208,"5","exp",552,"23","item17",5,5,1
51208,"5","exp",552,"23","item18",4,4,1
51208,"5","exp",552,"23","item19",2,2,1
51208,"5","exp",552,"23","item20",4,4,1
51208,"5","exp",552,"23","item21",3,3,1
51208,"5","exp",552,"23","item22",5,3,0
51208,"5","exp",552,"23","item23",5,5,1
51208,"5","exp",552,"23","item24",4,4,1
51208,"5","exp",552,"23","item25",3,3,1
51208,"5","exp",552,"23","item26",2,1,0
51208,"5","exp",552,"23","item27",2,2,1
51208,"5","exp",552,"23","item28",1,1,1
51208,"5","exp",552,"23","item29",2,2,1
51208,"5","exp",552,"23","item30",2,2,1
51208,"5","exp",552,"23","item31",4,5,0
51208,"5","exp",552,"23","item32",2,4,0
51208,"5","exp",552,"23","item33",0,3,0
51208,"5","exp",552,"23","item34",4,1,0
51203,"5","exp",537,"21","item7",4,4,1
51203,"5","exp",537,"21","item8",4,4,1
51203,"5","exp",537,"21","item9",1,1,1
51203,"5","exp",537,"21","item10",3,3,1
51203,"5","exp",537,"21","item11",2,2,1
51203,"5","exp",537,"21","item12",5,5,1
51203,"5","exp",537,"21","item13",4,4,1
51203,"5","exp",537,"21","item14",1,1,1
51203,"5","exp",537,"21","item15",1,1,1
51203,"5","exp",537,"21","item16",5,2,0
51203,"5","exp",537,"21","item17",5,5,1
51203,"5","exp",537,"21","item18",4,4,1
51203,"5","exp",537,"21","item19",2,2,1
51203,"5","exp",537,"21","item20",4,4,1
51203,"5","exp",537,"21","item21",3,3,1
51203,"5","exp",537,"21","item22",3,3,1
51203,"5","exp",537,"21","item23",5,5,1
51203,"5","exp",537,"21","item24",0,4,0
51203,"5","exp",537,"21","item25",3,3,1
51203,"5","exp",537,"21","item26",0,1,0
51203,"5","exp",537,"21","item27",4,2,0
51203,"5","exp",537,"21","item28",1,1,1
51203,"5","exp",537,"21","item29",3,2,0
51203,"5","exp",537,"21","item30",4,2,0
51203,"5","exp",537,"21","item31",5,5,1
51203,"5","exp",537,"21","item32",0,4,0
51203,"5","exp",537,"21","item33",3,3,1
51203,"5","exp",537,"21","item34",4,1,0
51203,"5","exp",537,"21","item35",0,5,0
51111,"5","exp",588,"21","item7",4,4,1
51111,"5","exp",588,"21","item8",4,4,1
51111,"5","exp",588,"21","item9",1,1,1
51111,"5","exp",588,"21","item10",3,3,1
51111,"5","exp",588,"21","item11",2,2,1
51111,"5","exp",588,"21","item12",5,5,1
51111,"5","exp",588,"21","item13",4,4,1
51111,"5","exp",588,"21","item14",1,1,1
51111,"5","exp",588,"21","item15",1,1,1
51111,"5","exp",588,"21","item16",2,2,1
51111,"5","exp",588,"21","item17",5,5,1
51111,"5","exp",588,"21","item18",4,4,1
51111,"5","exp",588,"21","item19",2,2,1
51111,"5","exp",588,"21","item20",4,4,1
51111,"5","exp",588,"21","item21",1,3,0
51111,"5","exp",588,"21","item22",3,3,1
